time, normalized_head, current, 
0, 0, -0.666, 
18, -0.0358868, -0.666, 
37, -0.0227032, -0.666, 
56, -0.000542641, -0.666, 
74, -0.0183554, -0.666, 
93, 0.0168295, -0.666, 
112, 0.0616817, -0.666, 
131, 0.077035, -0.666, 
150, 0.0907135, -0.666, 
168, 0.0365267, -0.666, 
187, 0.0569162, -0.666, 
206, 0.0600996, -0.666, 
224, 0.0528898, -0.666, 
243, 0.0554409, -0.666, 
262, 0.0489111, -0.666, 
281, -0.0055151, -0.666, 
299, -0.0246258, -0.666, 
318, -0.0111227, -0.666, 
337, 0.000306129, -0.666, 
356, 0.00829697, -0.666, 
374, 0.00852585, -0.666, 
393, 0.00528336, -0.666, 
412, -0.0211306, -0.666, 
431, -0.00557518, -0.666, 
449, -0.0121765, -0.666, 
468, -0.00911331, -0.666, 
487, -0.0208902, -0.666, 
506, -0.0394564, -0.666, 
525, -0.0357971, -0.666, 
543, -0.0223274, -0.666, 
562, 0.0100918, -0.666, 
581, -0.0310717, -0.666, 
599, -0.0279388, -0.666, 
619, -0.0106068, -0.666, 
637, 0.0303402, -0.666, 
656, 0.0199938, -0.666, 
674, 0.00483608, -0.666, 
693, 0.0246096, -0.666, 
712, 0.0853329, -0.666, 
730, 0.112319, -0.666, 
749, 0.0960617, -0.666, 
768, 0.0780115, -0.666, 
787, -0.00979805, -0.666, 
806, -0.0319481, 0.666, 
824, -0.0498991, 0.666, 
843, -0.0773449, 0.666, 
862, -0.0792465, 0.666, 
882, -0.122685, 0.666, 
899, -0.107341, 0.666, 
918, -0.096056, 0.666, 
937, -0.154659, 0.666, 
956, -0.182482, 0.666, 
974, -0.147667, 0.666, 
993, -0.0788984, 0.666, 
1012, -0.0681715, 0.666, 
1032, -0.0115614, 0.666, 
1049, 0.0292149, 0.666, 
1068, -0.025609, 0.666, 
1087, -0.0278358, 0.666, 
1106, -0.0370197, 0.666, 
1125, 0.0044899, 0.666, 
1143, -0.0284834, 0.666, 
1162, -0.0412474, 0.666, 
1181, -0.0412388, 0.666, 
